time;src_ip;src_port;dst_ip;dst_port;flags;length
11:42:06.681906;190-0-175-100.gba.solunet.com.ar;2503;184.107.43.74;http;S;120
11:42:06.681924;190-0-175-100.gba.solunet.com.ar;2504;184.107.43.74;http;S;120
11:42:06.681941;190-0-175-100.gba.solunet.com.ar;2505;184.107.43.74;http;S;120
11:42:06.681958;190-0-175-100.gba.solunet.com.ar;2506;184.107.43.74;http;S;120
11:42:06.681975;190-0-175-100.gba.solunet.com.ar;2507;184.107.43.74;http;S;120
11:42:06.681992;190-0-175-100.gba.solunet.com.ar;2508;184.107.43.74;http;S;120
11:42:06.682008;190-0-175-100.gba.solunet.com.ar;2509;184.107.43.74;http;S;120
11:42:06.682025;190-0-175-100.gba.solunet.com.ar;2510;184.107.43.74;http;S;120
11:42:06.682041;190-0-175-100.gba.solunet.com.ar;2511;184.107.43.74;http;S;120
11:42:06.682058;190-0-175-100.gba.solunet.com.ar;2512;184.107.43.74;http;S;120
11:42:06.682075;190-0-175-100.gba.solunet.com.ar;2513;184.107.43.74;http;S;120
11:42:06.682092;190-0-175-100.gba.solunet.com.ar;2514;184.107.43.74;http;S;120
11:42:06.682108;190-0-175-100.gba.solunet.com.ar;2515;184.107.43.74;http;S;120
11:42:06.682125;190-0-175-100.gba.solunet.com.ar;2516;184.107.43.74;http;S;120
11:42:06.682152;190-0-175-100.gba.solunet.com.ar;2517;184.107.43.74;http;S;120
11:42:06.682172;190-0-175-100.gba.solunet.com.ar;2518;184.107.43.74;http;S;120
11:42:06.682191;190-0-175-100.gba.solunet.com.ar;2519;184.107.43.74;http;S;120
11:42:06.682210;190-0-175-100.gba.solunet.com.ar;2520;184.107.43.74;http;S;120
11:42:06.682227;190-0-175-100.gba.solunet.com.ar;2521;184.107.43.74;http;S;120
11:42:06.682243;190-0-175-100.gba.solunet.com.ar;2522;184.107.43.74;http;S;120
11:42:06.682259;190-0-175-100.gba.solunet.com.ar;2523;184.107.43.74;http;S;120
11:42:06.682276;190-0-175-100.gba.solunet.com.ar;2524;184.107.43.74;http;S;120
11:42:06.682292;190-0-175-100.gba.solunet.com.ar;2525;184.107.43.74;http;S;120
11:42:06.682308;190-0-175-100.gba.solunet.com.ar;2526;184.107.43.74;http;S;120
11:42:06.682325;190-0-175-100.gba.solunet.com.ar;2527;184.107.43.74;http;S;120
11:42:06.682341;190-0-175-100.gba.solunet.com.ar;2528;184.107.43.74;http;S;120
11:42:06.682357;190-0-175-100.gba.solunet.com.ar;2529;184.107.43.74;http;S;120
11:42:06.682374;190-0-175-100.gba.solunet.com.ar;2530;184.107.43.74;http;S;120
11:42:06.682390;190-0-175-100.gba.solunet.com.ar;2531;184.107.43.74;http;S;120
11:42:06.682407;190-0-175-100.gba.solunet.com.ar;2532;184.107.43.74;http;S;120
11:42:06.682423;190-0-175-100.gba.solunet.com.ar;2533;184.107.43.74;http;S;120
11:42:06.682439;190-0-175-100.gba.solunet.com.ar;2534;184.107.43.74;http;S;120
11:42:06.682455;190-0-175-100.gba.solunet.com.ar;2535;184.107.43.74;http;S;120
11:42:06.682472;190-0-175-100.gba.solunet.com.ar;2536;184.107.43.74;http;S;120
11:42:06.682488;190-0-175-100.gba.solunet.com.ar;2537;184.107.43.74;http;S;120
11:42:06.682504;190-0-175-100.gba.solunet.com.ar;2538;184.107.43.74;http;S;120
11:42:06.682521;190-0-175-100.gba.solunet.com.ar;2539;184.107.43.74;http;S;120
11:42:06.682537;190-0-175-100.gba.solunet.com.ar;2540;184.107.43.74;http;S;120
11:42:06.682553;190-0-175-100.gba.solunet.com.ar;2541;184.107.43.74;http;S;120
11:42:06.682570;190-0-175-100.gba.solunet.com.ar;2542;184.107.43.74;http;S;120
11:42:06.682586;190-0-175-100.gba.solunet.com.ar;2543;184.107.43.74;http;S;120
11:42:06.682602;190-0-175-100.gba.solunet.com.ar;2544;184.107.43.74;http;S;120
11:42:06.682619;190-0-175-100.gba.solunet.com.ar;2545;184.107.43.74;http;S;120
